date;exits;year;month;day;weekday;in_sample;exits_yesterday;exits_last_week;daily_roll;daily_ewma_fast;daily_ewma_slow;weekday_roll;weekday_ewma_fast;weekday_ewma_slow
2013-07-27;19958.5;2013;7;27;5;False;49234.0;18069.5;40631.45;49357.77542347638;49523.80489482203;11257.625;17769.118700068007;14748.572443420324
2013-07-28;13800.0;2013;7;28;6;False;19958.5;14593.0;38494.0;21358.46549635602;34741.15244741102;8423.75;14356.140686277333;11755.140245118415
2013-07-29;45741.0;2013;7;29;0;False;13800.0;48549.0;35784.1;14159.926928397905;24270.57622370551;30014.625;48149.954662900534;40654.95640307682
2013-07-30;47897.0;2013;7;30;1;False;45741.0;50697.0;36524.0;44237.13937754275;35005.78811185276;30994.25;50207.8378879133;42097.987312555866
2013-07-31;48238.0;2013;7;31;2;False;47897.0;52808.0;39506.75;47722.72092274013;41451.39405592638;31722.75;52223.886535960824;43323.213826115374
2013-08-01;46208.0;2013;8;1;3;False;48238.0;51790.0;42871.25;48213.462901082865;44844.69702796319;27253.5;51208.68991660074;40926.44197311488
2013-08-02;45704.0;2013;8;2;4;False;46208.0;49234.0;42637.15;46303.4982333849;45526.3485139816;29513.25;48682.763979002426;40473.660521147394
2013-08-03;17764.0;2013;8;3;5;False;45704.0;19958.5;42137.85;45732.54753492309;45615.174256990795;14539.75;19854.243747622284;17353.53622171016
2013-08-04;13634.0;2013;8;4;6;False;17764.0;13800.0;38633.45;19095.8355969011;31689.587128495397;11436.5;13826.48288982273;12777.570122559207
2013-08-05;40268.0;2013;8;5;0;False;13634.0;45741.0;34817.85;13894.087409376243;22661.7935642477;39746.375;45855.712126804785;43197.97820153841
2013-08-06;42085.0;2013;8;6;1;False;40268.0;47897.0;33921.25;39012.09940044649;31464.896782123848;41168.25;48007.039899424446;44997.49365627793
2013-08-07;41686.0;2013;8;7;2;False;42085.0;48238.0;36133.9;41938.67140002127;36774.948391061924;41964.75;48427.80412076004;45780.60691305769
2013-08-08;41672.0;2013;8;8;3;False;41686.0;46208.0;38922.5;41698.031971429584;39230.47419553096;38140.75;46446.128091266706;43567.22098655744
2013-08-09;38683.0;2013;8;9;4;False;41672.0;45704.0;38515.6;41673.239617687126;40451.23709776548;39517.0;45845.84590376202;43088.8302605737
2013-08-10;16309.5;2013;8;10;5;False;38683.0;17764.0;37594.2;38825.39236274701;39567.11854888274;16933.375;17863.53541655344;17558.768110855082
2013-08-11;12068.0;2013;8;11;6;False;16309.5;13634.0;34401.35;17381.685350607;27938.30927444137;12939.5;13643.165851896321;13205.785061279603
2013-08-12;30016.0;2013;8;12;0;False;12068.0;40268.0;30987.35;12321.03263574319;20003.154637220687;43896.875;40534.08152984785;41732.989100769206
